"Study_Code","Sample_ID","Randomized_ID","Dilution_Factor","Instrument_MakeModel","Method_Deviation","Method_Notes","toc_percent","tn_percent","date_run"
"S19S","S19S_0069_BULK-U",148,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.31,0.09,"10/17/2022"
"S19S","S19S_0093_BULK-D",149,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,1.58,0.17,"10/17/2022"
"S19S","S19S_0085_BULK-M",150,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.19,0.09,"10/17/2022"
"S19S","S19S_0066_BULK-D",151,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.17,0.07,"10/18/2022"
"S19S","S19S_0034_BULK-M",152,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.66,0.11,"10/18/2022"
"S19S","S19S_0077_BULK-D",153,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.19,0.08,"10/18/2022"
"S19S","S19S_0020_BULK-D",154,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.2,0.08,"10/18/2022"
"S19S","S19S_0034_BULK-D",155,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,3.86,0.2,"11/10/2022"
"S19S","S19S_0075_BULK-M",156,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.25,0.1,"10/18/2022"
"S19S","S19S_0072_BULK-D",157,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.25,0.08,"10/18/2022"
"S19S","S19S_0075_BULK-U",158,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.34,0.1,"10/18/2022"
"S19S","S19S_0044_BULK-M",159,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,5.08,0.2,"11/10/2022"
"S19S","S19S_0044_BULK-U",160,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,6.78,0.37,"11/10/2022"
